0.9156490215	44368
0.9154535558	36241
0.9131070857	11682
0.9129156882	44690
0.9126023984	22277
0.9119141534	33266
0.9112158735	71145
0.9109291081	5620
0.9105882257	30000
0.9104486267	30969
0.9103842528	34020
0.9102102060	183523
0.9099898674	382662
0.9098911742	40475
0.9094388445	44564
0.9092669488	144619
0.9089357317	31765
0.9086409184	34239
0.9083388161	37104
0.9081727409	137666
0.9079823548	3511
0.9077959793	73379
0.9076734714	26565
0.9075906779	102117
0.9074606356	9296
0.9074032051	18526
0.9073751908	7529
0.9073570350	18395
0.9073259450	84638
0.9072136056	45806
0.9071237016	151621
0.9070147607	17214
0.9069747337	28245
0.9068472108	34621
0.9067288085	36588
0.9066402426	41941
0.9065899023	14189
0.9063932049	11658
0.9063627994	139850
0.9061867219	91843
0.9061652564	26430
0.9058512317	53356
0.9058335630	60533
0.9057844763	14858
0.9057710911	32207
0.9057710364	23810
0.9057507872	30365
0.9056987520	42795
0.9056828769	46445
0.9056787834	146134
0.9056225321	92398
0.9055771981	18681
0.9054847799	26267
0.9054739148	18457
0.9054178384	32724
0.9053691454	17918
0.9053659603	14946
0.9053423847	95781
0.9052585550	1904
0.9052343968	27611
0.9049188258	18369
0.9047686921	31184
0.9047515201	25352
0.9047384387	31602
0.9047190525	4445
0.9046794749	19334
0.9046770985	51890
0.9046557375	64400
0.9045908792	97522
0.9045646471	21543
0.9045432314	9925
0.9044183286	39059
0.9043736730	59661
0.9041972494	73103
0.9041041868	27414
0.9040638006	25084
0.9039430949	111875
0.9039262307	25595
0.9039249131	41154
0.9038637815	34290
0.9038169688	30517
0.9037780226	42570
0.9037755770	63832
0.9036944592	11744
0.9034418314	60602
0.9033406830	31149
0.9033203339	68656
0.9032699316	40355
0.9032405996	470983
0.9032233924	42880
0.9031652218	18910
0.9031012317	32275
0.9030613766	29410
0.9030520993	106399
0.9030396591	25749
0.9027686721	4886
0.9027584793	19743
0.9027519797	67443
0.9027473180	32672
0.9027115582	156378
0.9026814297	26062
0.9026394776	1688
0.9026364444	53889
0.9025524724	53447
0.9025089393	26210
0.9024685616	27393
0.9024640061	40415
0.9024635903	30926
0.9024570532	157
0.9023998875	16891
0.9023816352	26818
0.9023719029	112669
0.9023445337	35847
0.9023423234	64932
0.9022983143	40732
0.9022551225	96401
0.9021813457	54301
0.9021533613	13506
0.9020825892	42725
0.9020471006	86064
0.9020081537	98027
0.9019463083	17116
0.9018849452	69833
0.9018491207	12387
0.9017983354	46380
0.9017789661	63302
0.9017141947	220
0.9016534225	18665
0.9016325459	47094
0.9016124984	28478
0.9015537834	11378
0.9014886710	31818
0.9014874625	59872
0.9014761126	25785
0.9014547770	69331
0.9014161513	58854
0.9013635877	20825
0.9013044815	32324
0.9012762750	60317
0.9012711995	27481
0.9012690650	40801
0.9012621365	8345
0.9012298873	43057
0.9011739864	4798
0.9010577794	22504
0.9010399568	103426
0.9009474945	145507
0.9009171981	212655
0.9008273019	238
0.9008185162	20994
0.9008119370	31173
0.9007761967	76122
0.9007700584	29095
0.9007083918	31897
0.9006770622	132393
0.9006712914	22294
0.9006581343	12816
0.9005875485	40514
0.9005866657	45779
0.9004351014	31108
0.9004118230	53838
0.9004061827	18033
0.9003839508	200
0.9003703373	12111
0.9003304173	22945
0.9002995423	37435
0.9002358684	11585
0.9002326254	54427
0.9002292702	26395
0.9002179334	13287
0.9001915759	139855
0.9001844003	51725
0.9001083289	36565
0.9000885578	77772
0.9000883815	118377
0.9000577585	40060
0.9000484959	41937
0.9000315359	14569
0.8999633451	54284
0.8999322346	12150
0.8998989659	27232
0.8998646934	210561
0.8998628329	97042
0.8998524726	12732
0.8998178983	32869
0.8998133169	60322
0.8997665689	59821
0.8997268670	5687
0.8997143343	7165
0.8997105717	44014
0.8996748969	1793
0.8996719223	79519
0.8996336672	16285
0.8995418732	83720
0.8995412963	100523
0.8995170703	19565
0.8994268751	22856
0.8993167493	40859
0.8993043098	39923
0.8992729932	31762
0.8992575171	31600
0.8992475816	6862
0.8992222942	19158
0.8992178412	37085
0.8991598087	91
0.8991120484	132071
0.8990604382	55497
0.8990541071	13459
0.8990338840	14642
0.8990317217	25178
0.8990309511	353671
0.8990177223	70284
0.8990048692	4053
0.8989864408	42083
0.8989487083	13587
0.8989294316	87959
0.8989146294	111323
0.8988924988	37919
0.8988838086	6153
0.8988414682	32013
0.8987932430	36745
0.8987867509	26896
0.8987822827	64667
0.8987298494	81544
0.8987037897	65997
0.8986877286	13900
0.8986683970	31209
0.8985937535	32788
0.8985534284	91672
0.8985525589	76647
0.8985233083	46486
0.8985015943	83773
0.8984922222	32780
0.8984884491	7024
0.8984622290	72696
0.8984388148	41928
0.8984338995	25372
0.8984036132	24135
0.8983630381	47913
0.8983610687	46306
0.8983391724	18270
0.8982989303	18606
0.8982897096	74983
0.8982740660	29753
0.8982536037	3708
0.8982479583	40800
0.8982153047	107966
0.8982045620	28565
0.8981611567	29270
0.8981483640	23186
0.8981478952	113929
0.8981236069	59710
0.8980997184	43135
0.8980613792	383147
0.8980365983	37189
0.8980256702	942
0.8979201043	113737
0.8978977451	35349
